SiteName,Lat,Lon,ReportLink,SiteLink,Description,Region
Cape Lookout,34.25,-76.16667,https://portal.ncddc.noaa.gov/site-summary-reports/cape-lookout,https://deepseacoraldata.noaa.gov/sites/cape-lookout-site,"Several fish and invertebrate species were observed during this dive. The dive began on dense rubble with Helicolenus dactylopterus, Laemonema spp., squid, and scorpaenids. Scorpaenids and Nezumia spp. were observed in rubble and hard coral habitats. The dominant coral in the area was Lophelia pertusa and was colonized by Echinus spp., numerous galatheids, and brittle stars.",Southeast
Cape Fear Lophelia Banks,33.583333,-76.58333,https://portal.ncddc.noaa.gov/site-summary-reports/cape-fear-lophelia-banks,https://deepseacoraldata.noaa.gov/sites/cape-fear-site,"The entire dive took place over a dense Lophelia pertusa reef made up of primarily dead L. pertusa boulders and rubble. Only about 5-10% of the coral observed was living. Cup corals were abundant on the dead L. pertusa, while sponges and soft corals were rare. The most common mobile invertebrates were Eumunida picta and brittle stars. A single Rochinia crassa was observed and collected. Flytrap anemones and basket stars were observed occasionally.",Southeast
Charleston Bump,31.833333,-77.66667,https://portal.ncddc.noaa.gov/site-summary-reports/stetson-banks,https://deepseacoraldata.noaa.gov/sites/stetson-banks-site,"The Charleston Bump is a very large region of extremely diverse, rugged topography and bottom types. While the surface waters of Charleston Bump are often outside the main Gulf Stream path, bottom currents can be quite strong.",Southeast
Savannah Banks,31.75,-79.16667,https://portal.ncddc.noaa.gov/site-summary-reports/savannah-banks,https://deepseacoraldata.noaa.gov/sites/savannah-banks-site,"Very few fish were observed on this dive and were represented by very few individuals. The most common fish was Laemonema melanurum in all habitats observed. A few Nezumia spp. and squalid sharks were observed on mound. Fenestraja plutonia was observed on the soft substrate rubble mix. In the soft substrate rubble mix Phykalleia spp. was abundant in patches. Mound substrate of rock ledge and rubble was covered with abundant mixed fauna. Hard corals were represented by individuals of Lophelia pertusa, Madrepora oculata, Enallopsammia profunda, and numerous cup corals. Gorgonians were abundant but too small to be properly identified.",Southeast
Jacksonville Lithoherms,30.25,-79.83333,https://portal.ncddc.noaa.gov/site-summary-reports/jacksonville-fla,https://deepseacoraldata.noaa.gov/sites/jacksonville-site,"The Jacksonville lithoherms area is a huge region of hardground outcroppings and deep-sea coral bioherms occurring from about 200 to 800 m depths over a latitude range of about 30° to 31° N. The dominant deep-sea coral is Lophelia pertusa, which colonizes the rocks as well as builds bioherms. Black corals (mostly Leiopathes sp.) are common on the rocky hardgrounds, reach large sizes, and can be hundreds to thousands of years old. Other cniderians observed in this area include Madrepora oculata, Enallopsammia profunda, Plumarella sp., Bathypathes sp., Stylaster spp., Keratoisis sp., cup corals, and numerous anemones. Sponge diversity is quite high.",Southeast
St Augustine,29.833333,-79.58333,https://portal.ncddc.noaa.gov/site-summary-reports/st-augustine-1,https://deepseacoraldata.noaa.gov/sites/st-augustine-site,"The St. Augustine lithoherm was composed primarily of a dead Lophelia pertusa rubble matrix on a carbonate rock substrate. Additionally, this site is a carbonate substrate lithoherm with rock slabs and outcrops covered in consolidated and unconsolidated coral rubble.",Southeast
St Lucie Bump,27.25,-79.58333,https://portal.ncddc.noaa.gov/site-summary-reports/st-lucie-bump,https://deepseacoraldata.noaa.gov/sites/st-lucie-site,The habitat of interest at St. Lucie Bump consisted of low to high relief coral mounds comprised of 99% dead Lophelia pertusa matrix with occasional live tips.,Southeast
West Palm Beach,26.75,-79.58333,https://portal.ncddc.noaa.gov/site-summary-reports/west-palm-beach-1,https://deepseacoraldata.noaa.gov/sites/west-palm-beach-site,This dive began to the south of the L. pertusa bioherm in rubble habitat before traversing over soft sediment and soft sediment with coral rubble and attached fauna. The first coral bioherm supported a mixed habitat of sponges and soft coral attached to coral rubble and hard coral habitat with attached fauna.,Southeast
Miami Terrace,26.083333,-79.83333,https://portal.ncddc.noaa.gov/site-summary-reports/miami-terrace-1,https://deepseacoraldata.noaa.gov/sites/miami-terrace-site,"The survey on November 16 & 17, 2005 (Brooke et al.) used the R/V Seward Johnson deploying the Johnson Sea Link I Submersible supporting the Ocean Exploration 2005 program. The survey on May 29, 2007 (Messing et al.) used the R/V Seward Johnson deploying the Johnson Sea Link II Submersible supporting the Ocean Exploration Deep Coral Expedition.",Southeast
Cape Canaveral,28.333333,-79.75,https://portal.ncddc.noaa.gov/site-summary-reports/cape-canaveral-shallow,https://deepseacoraldata.noaa.gov/sites/cape-canaveral-dashboard,"The Cape Canaveral Region surveys were conducted on the shallow continental slope (400m-500m) and deep continental slope (600m-800m) in 2005, 2009, and 2010.",Southeast
Florida Straits,25.666667,-79.83333,https://portal.ncddc.noaa.gov/site-summary-reports/florida-straits-site-1,https://deepseacoraldata.noaa.gov/sites/florida-straits-site,"The survey on November 16, 2005 (Brooke et al.) used the R/V Seward Johnson deploying the Johnson Sea Link I Submersible supporting the Ocean Exploration 2005 program. The survey on May 29, 2007 (Messing et al.) used the R/V Seward Johnson deploying the Johnson Sea Link II Submersible supporting the Ocean Exploration Deep Coral Expedition.",Southeast
