Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1984,Gulf of Mexico,Rhizoprionodon terraenovae,28.3909180764411,NA,-95.4917279135338,NA,56.0781581954887,NA
1985,Gulf of Mexico,Rhizoprionodon terraenovae,27.521654240369,0.520889537986407,-94.4002767534113,1.55784488271632,54.2377843429119,5.95492533308815
1986,Gulf of Mexico,Rhizoprionodon terraenovae,28.6845641353811,NA,-90.5401870022753,NA,47.1880333105802,NA
1987,Gulf of Mexico,Rhizoprionodon terraenovae,28.3808817356206,0.439352335437791,-94.3001554205543,1.11154872440457,36.1324666408099,3.92959405977173
1988,Gulf of Mexico,Rhizoprionodon terraenovae,28.9448148754474,0.205625130591918,-91.6715116838634,1.05442699436693,38.7957381051698,3.84619429611818
1989,Gulf of Mexico,Rhizoprionodon terraenovae,28.0829026419651,0.333933710290816,-94.3988508410061,0.8492864525685,55.8707276945358,4.26245163010001
1990,Gulf of Mexico,Rhizoprionodon terraenovae,28.9405525299578,0.282387700294863,-92.2157577689586,1.21119537643,48.7784403994577,4.18212610804206
1991,Gulf of Mexico,Rhizoprionodon terraenovae,29.0846657392313,0.206705395700729,-92.1551916547375,0.751053251400613,36.2688379877883,4.47794877479691
1992,Gulf of Mexico,Rhizoprionodon terraenovae,28.6445220787558,0.42341415223987,-92.5665615368017,1.30521678323598,44.751908069875,3.77009247219268
1993,Gulf of Mexico,Rhizoprionodon terraenovae,28.9443052187943,0.271443398187429,-91.9273160586116,1.33366077224475,52.1356714150901,2.73637638804098
1994,Gulf of Mexico,Rhizoprionodon terraenovae,29.1564053351303,0.217235011876058,-91.8942106096799,1.24997475543728,48.5984741299171,6.84365868288035
1995,Gulf of Mexico,Rhizoprionodon terraenovae,28.7837734726602,0.168657144999941,-93.2261667530384,0.68879182377558,49.1465534145424,3.64225611518427
1996,Gulf of Mexico,Rhizoprionodon terraenovae,28.963650375922,0.214134110801289,-92.1712630175512,1.05960931719749,51.2498971134387,3.89235628954208
1997,Gulf of Mexico,Rhizoprionodon terraenovae,29.2450381683926,0.186507421798291,-90.0740469102647,0.788401922258019,51.6205611925121,2.859071195548
1998,Gulf of Mexico,Rhizoprionodon terraenovae,28.4334085836672,0.285426334722643,-95.2292680935707,0.642322557576961,45.4890114461405,5.8260781195444
1999,Gulf of Mexico,Rhizoprionodon terraenovae,28.6168984169878,0.116461425473438,-94.1103358140425,0.535233939852519,53.5223842185528,4.12570374981102
2000,Gulf of Mexico,Rhizoprionodon terraenovae,28.1455403096654,0.254299418749762,-94.9403910703549,0.610071878426991,48.9138814282949,3.43719444339116
2001,Gulf of Mexico,Rhizoprionodon terraenovae,28.765574488574,0.136827351880807,-91.9658764864438,0.739166427844825,47.1816906263408,6.9056265587568
2002,Gulf of Mexico,Rhizoprionodon terraenovae,28.4624832366652,0.19980569184974,-93.82239293775,0.632574681450529,49.5051507924669,3.61695442338891
2003,Gulf of Mexico,Rhizoprionodon terraenovae,29.1194804469106,0.337267165331431,-91.0506939423444,1.51015927745123,51.3713837580325,3.38513841939822
2004,Gulf of Mexico,Rhizoprionodon terraenovae,29.1694581397513,0.299474820392017,-90.5686343414989,1.26936435370174,48.5343498378899,4.39049146925991
2005,Gulf of Mexico,Rhizoprionodon terraenovae,28.6202582067136,0.458770342909579,-91.5336079982044,1.30839651683675,44.1910490903081,6.04729008996604
2006,Gulf of Mexico,Rhizoprionodon terraenovae,28.4895875109218,0.267776857087059,-94.301212342874,0.797027004466644,44.8452342049093,5.36888486914148
2007,Gulf of Mexico,Rhizoprionodon terraenovae,28.7233680536578,0.163098378181568,-93.3347971790703,0.642744544629356,50.0263544198548,5.87486325530768
2008,Gulf of Mexico,Rhizoprionodon terraenovae,28.4979031036627,0.196620110881954,-93.1719193298378,1.00219823885042,55.5692255944823,2.522726719858
2009,Gulf of Mexico,Rhizoprionodon terraenovae,28.6539450028667,0.287582269066622,-93.3757189337699,1.17169096775092,52.5586071261686,3.99622952834137
2010,Gulf of Mexico,Rhizoprionodon terraenovae,29.2394557239039,0.263542810802765,-90.6230678237576,1.11311252819984,51.0199338685995,3.23989562725716
2011,Gulf of Mexico,Rhizoprionodon terraenovae,28.7365900058355,0.14088542006493,-91.7823403985514,0.956217672524531,48.3713590559003,4.04100533374267
2012,Gulf of Mexico,Rhizoprionodon terraenovae,28.7214531168716,0.120779305188072,-93.1601604509069,0.598635173181909,48.1550390434074,4.163922198766
2013,Gulf of Mexico,Rhizoprionodon terraenovae,28.3183085799371,0.242431379743429,-94.8796538771791,0.567699823715192,52.9382175449084,4.04391303482822
