Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1984,Gulf of Mexico,Balistes capriscus,29.369863439113,0.0707024765894252,-93.1161843880994,1.2848567244605,28.5417711119336,6.79279974818545
1985,Gulf of Mexico,Balistes capriscus,28.5159098238378,0.542023486586966,-94.7803759475189,0.582491554150385,49.6286389237326,10.459821716037
1986,Gulf of Mexico,Balistes capriscus,28.3086091908137,0.314460636945688,-92.6951390896248,1.73791551732753,47.6350605249323,3.34146475197442
1987,Gulf of Mexico,Balistes capriscus,28.6394563654317,0.10036278466071,-91.4698399959725,0.627184390323694,51.1457552024231,2.88865780185488
1988,Gulf of Mexico,Balistes capriscus,28.8662923183679,0.213929394952659,-91.7049833311685,0.910954773810856,53.2832949374009,2.24640961492314
1989,Gulf of Mexico,Balistes capriscus,28.3418735727225,0.534463882856251,-92.7114974429886,1.4315152782541,54.8335206033403,4.23680034539772
1990,Gulf of Mexico,Balistes capriscus,28.5986105875161,0.132687997009464,-92.5598599625148,0.74929603848886,49.5881194710831,2.56116465626956
1991,Gulf of Mexico,Balistes capriscus,28.8129889477223,0.120650233026991,-92.5716484034608,0.584725995295143,55.0335067665221,3.3758237115605
1992,Gulf of Mexico,Balistes capriscus,28.2276373054675,0.180718015635645,-95.070501681871,0.823420050289737,44.4687199361334,2.607058451826
1993,Gulf of Mexico,Balistes capriscus,28.6639449204924,0.318837042980623,-92.3300692797886,1.0551289851442,46.6445033873262,3.32516044361561
1994,Gulf of Mexico,Balistes capriscus,28.5649353227587,0.298332192251324,-92.7431711406003,0.777202444457914,51.9820761004034,4.15870809824525
1995,Gulf of Mexico,Balistes capriscus,28.2285106542782,0.230912247021951,-94.0822952628585,0.696348786661066,56.311533734568,2.85976455919152
1996,Gulf of Mexico,Balistes capriscus,29.1343278376531,0.25376059959257,-90.8760808461358,1.17288481696333,54.8914606908691,1.90782381862396
1997,Gulf of Mexico,Balistes capriscus,28.6066619972254,0.241270190305531,-94.2995059828571,0.444671296916406,48.3359444428708,5.10825461434746
1998,Gulf of Mexico,Balistes capriscus,28.5907682911977,0.117675994492452,-94.2505798846149,0.426750627104489,57.6495421095297,3.9083554908818
1999,Gulf of Mexico,Balistes capriscus,28.2799760147801,0.27736428489884,-94.4246097648713,0.599656046251186,46.7791594396369,3.8603846884727
2000,Gulf of Mexico,Balistes capriscus,28.8071841671944,0.0892605607107649,-92.4984694865763,0.46279844636375,44.2389787410833,3.47259694098011
2001,Gulf of Mexico,Balistes capriscus,28.7896941353489,0.181236610413601,-93.3607839317028,0.605284885997357,43.8968971034663,4.77393666467498
2002,Gulf of Mexico,Balistes capriscus,28.69461682636,0.190348488402342,-92.9468961746701,0.783384258724631,54.4617949386141,2.85389430301811
2003,Gulf of Mexico,Balistes capriscus,28.5812193477352,0.3813328365752,-92.4591524063852,1.12061345488903,54.1202846765141,4.090765261489
2004,Gulf of Mexico,Balistes capriscus,28.8211300758307,0.181407626392564,-92.5196717047563,0.925627614204216,49.8602825808824,3.2469054009677
2005,Gulf of Mexico,Balistes capriscus,27.3083327453301,0.389403494171123,-95.5545510100198,0.665321650290016,64.6027774749227,2.90553396905481
2006,Gulf of Mexico,Balistes capriscus,28.2727775355151,0.183249127548246,-94.4184411087175,0.643582070869996,55.2384474886203,2.72073482384973
2007,Gulf of Mexico,Balistes capriscus,28.3555649595002,0.22073164817458,-94.4864091828293,0.570490083866165,57.5579748481673,2.52372620849033
2008,Gulf of Mexico,Balistes capriscus,28.4947821347701,0.241630264151006,-93.7211111119858,0.851892373894395,56.0757173500544,2.43734224169776
2009,Gulf of Mexico,Balistes capriscus,28.9193766349442,0.248462381137614,-91.4786738152772,0.91931235243833,51.6393199046447,2.7882046932595
2010,Gulf of Mexico,Balistes capriscus,28.514246452078,0.224969046216592,-93.5251494088928,0.664868503065692,58.3778549119236,3.30771177167884
2011,Gulf of Mexico,Balistes capriscus,28.4852342168787,0.153286681564947,-94.1447758127955,0.545934602951765,57.9725770978078,2.32636451940965
2012,Gulf of Mexico,Balistes capriscus,28.7675362315088,0.122153222820885,-93.7951884798355,0.35678782515014,53.6616907119592,5.61530756684686
2013,Gulf of Mexico,Balistes capriscus,28.2517909244591,0.230656037573909,-94.8815851284146,1.00083388416864,56.4137885849249,3.44483279528897
