Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1984,Gulf of Mexico,Scomberomorus cavalla,26.7971666325843,0.574173104414359,-96.5647611467592,1.51473295489783,39.2359269572254,2.52187296661132
1985,Gulf of Mexico,Scomberomorus cavalla,26.9317489825054,0.427237017388678,-97.1523291435537,0.0164531621491794,38.3055741079777,0.0331944354227947
1987,Gulf of Mexico,Scomberomorus cavalla,27.8224672362817,0.676790667621968,-95.83067081401,0.962301665204741,39.1805867000087,6.84655823185396
1988,Gulf of Mexico,Scomberomorus cavalla,27.3250214097497,NA,-97.1674743083004,NA,38.3361296442688,NA
1989,Gulf of Mexico,Scomberomorus cavalla,28.4235038846492,0.198970580501646,-93.9946074946062,0.798221842044039,55.7394442184475,3.92033478238846
1990,Gulf of Mexico,Scomberomorus cavalla,28.7700669047721,0.115538305085221,-92.146367190447,0.677301125418516,51.9209357624697,6.28088464787582
1991,Gulf of Mexico,Scomberomorus cavalla,28.6820560027614,0.363033930783213,-93.1284650577315,1.41421890671324,50.0635625375592,3.49009477097795
1992,Gulf of Mexico,Scomberomorus cavalla,29.6195680323723,NA,-88.5783712696004,NA,52.5323493778452,NA
1993,Gulf of Mexico,Scomberomorus cavalla,28.4517043845225,0.565825415540037,-94.1096805448359,0.94285104827355,42.0583605159977,8.43384947841135
1994,Gulf of Mexico,Scomberomorus cavalla,28.8830475635275,0.149939105188717,-92.6670916582565,0.197192588473229,53.0317515595721,9.37553610270389
1995,Gulf of Mexico,Scomberomorus cavalla,28.5227414832569,0.20200643658021,-92.1173389192781,0.736141247579834,48.747736988245,2.88021965613128
1996,Gulf of Mexico,Scomberomorus cavalla,28.6479668993217,0.251798312111754,-94.9363262827114,0.538992393902792,47.9145278983854,7.57592368551589
1997,Gulf of Mexico,Scomberomorus cavalla,28.6235692223139,0.130639182864551,-93.7226049941986,0.737053147631724,54.277427058813,5.66614470650245
1998,Gulf of Mexico,Scomberomorus cavalla,28.0052398787604,0.477768186902658,-96.2699357281477,0.701027567181296,49.1951962239609,9.78019953613961
1999,Gulf of Mexico,Scomberomorus cavalla,27.4154616232147,1.09677514943473,-94.3151038062117,3.26233294950578,42.0825883095512,4.41219298697605
2000,Gulf of Mexico,Scomberomorus cavalla,28.6906024589922,0.091091465026984,-92.6139764296362,0.376098026458195,61.0439108533515,2.71958802750109
2001,Gulf of Mexico,Scomberomorus cavalla,28.2585066147091,0.190462740251376,-95.1435839986757,0.844095056675965,55.4648004760867,2.17703489838174
2002,Gulf of Mexico,Scomberomorus cavalla,28.3041232851236,0.202096105598149,-94.8596866958671,1.08729059275834,44.3683061028603,3.84667917937241
2003,Gulf of Mexico,Scomberomorus cavalla,28.6384237880486,0.143721682983869,-91.07885780623,1.67789535611081,46.583484364367,1.88309791795977
2004,Gulf of Mexico,Scomberomorus cavalla,28.7343214980354,0.36348900451724,-92.7856003481574,0.968606884598792,38.5320742332723,5.16361285807877
2005,Gulf of Mexico,Scomberomorus cavalla,28.5672425710032,0.234887533530629,-92.9572792159581,1.28354097632758,46.9416365158645,4.0286882653177
2006,Gulf of Mexico,Scomberomorus cavalla,28.4642801544963,0.175992480058601,-94.1519974537928,0.62184294129819,57.0875660331316,3.0683625571022
2007,Gulf of Mexico,Scomberomorus cavalla,28.6189174983383,0.0971906320813529,-93.1016860270338,0.580324294222275,56.8394943182365,3.03264193072476
2008,Gulf of Mexico,Scomberomorus cavalla,28.1895944100368,0.23663716859377,-94.8216342031776,0.828910981200739,52.3275034292368,4.27658837209472
2009,Gulf of Mexico,Scomberomorus cavalla,29.2567629676617,0.0264692393723097,-94.3639642026348,0.251374141835014,25.8870992224156,0.207965161601307
2010,Gulf of Mexico,Scomberomorus cavalla,29.115976667894,0.190451939190342,-93.7848530463428,0.261181650841576,36.957458339117,9.27949242539148
2011,Gulf of Mexico,Scomberomorus cavalla,28.5771470567302,0.273183677381069,-93.913433099785,1.13505858142625,47.501429723558,6.78831998045455
2012,Gulf of Mexico,Scomberomorus cavalla,29.2492360050891,NA,-94.4354465648855,NA,25.8279609160305,NA
2013,Gulf of Mexico,Scomberomorus cavalla,28.6589020454325,0.142288593521012,-94.2184876549375,0.670448067153567,48.3916857236342,4.24734329117395
