Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1984,Gulf of Mexico,Lutjanus campechanus,28.6636070580493,0.259337392405658,-93.240694594938,0.691834297265127,44.9365997572946,4.19247721601393
1985,Gulf of Mexico,Lutjanus campechanus,28.5695348701868,0.224408472613913,-93.7443845843322,0.631909995546957,54.4804587272411,4.09057258249498
1986,Gulf of Mexico,Lutjanus campechanus,29.1138713954079,0.193173766159182,-90.375799517065,0.807520387941801,53.0764797326824,2.00308878790001
1987,Gulf of Mexico,Lutjanus campechanus,28.7208848659242,0.129869001023532,-92.0895772614782,0.623762774630988,50.5165944281351,2.86224215532753
1988,Gulf of Mexico,Lutjanus campechanus,29.1157092479102,0.212098379266207,-90.8150468938371,0.828344448811457,52.8352461685922,2.53284945581888
1989,Gulf of Mexico,Lutjanus campechanus,28.7052828565418,0.176566436504666,-92.9654149668055,0.694068494696359,57.9467588805874,2.61659004619906
1990,Gulf of Mexico,Lutjanus campechanus,28.7414601069633,0.124135632373707,-92.0316648025541,0.576689996821747,48.3887475359748,2.95266675594442
1991,Gulf of Mexico,Lutjanus campechanus,28.5652864200313,0.168096745399035,-93.5839261232009,0.570231031185116,53.0403863584666,3.21659781097742
1992,Gulf of Mexico,Lutjanus campechanus,29.0226270143858,0.158481660069021,-91.5813817630456,0.713505650834545,49.3751343446841,3.19385923076246
1993,Gulf of Mexico,Lutjanus campechanus,28.8694490018547,0.127743967698864,-92.8079504280154,0.524647179712099,44.5272721580987,4.1123000904816
1994,Gulf of Mexico,Lutjanus campechanus,28.6715026814892,0.111787861991807,-93.5239982237191,0.483544793850697,54.3109294522414,2.79405831847288
1995,Gulf of Mexico,Lutjanus campechanus,28.6349328449728,0.156516423889723,-93.1580263274405,0.639857725154823,54.969504374676,2.87390536662446
1996,Gulf of Mexico,Lutjanus campechanus,28.7286233300963,0.159035339879965,-93.5102204495425,0.518079797559065,50.9408569673997,4.08187704577934
1997,Gulf of Mexico,Lutjanus campechanus,28.5924430681003,0.20800544706838,-94.2021436456048,0.546706405650178,47.4343018372406,4.104167475954
1998,Gulf of Mexico,Lutjanus campechanus,28.58322359481,0.245804742009197,-93.3304653706376,0.708247630870807,53.8364030276266,3.40351953082497
1999,Gulf of Mexico,Lutjanus campechanus,28.4477112387699,0.244531081194506,-92.3104656122512,0.717476070148606,49.7434372268942,2.48995648973422
2000,Gulf of Mexico,Lutjanus campechanus,28.8633355333041,0.126312928906069,-92.3417817717355,0.548454896936538,48.8200052177992,3.58381595544913
2001,Gulf of Mexico,Lutjanus campechanus,28.6241316946919,0.145154331272772,-92.0778786582078,0.643678964944295,47.898524820164,2.81719730890982
2002,Gulf of Mexico,Lutjanus campechanus,28.7678918506005,0.201296761466744,-92.7182966597158,0.80126147218693,55.8669705073877,2.10393398463002
2003,Gulf of Mexico,Lutjanus campechanus,28.6818095593372,0.15778877035805,-92.9410372627142,0.696584986507006,57.9820641709843,2.24834248484476
2004,Gulf of Mexico,Lutjanus campechanus,28.3032313520812,0.167622960420075,-94.6655251028369,0.609275012090141,51.9480455237095,2.81386621823365
2005,Gulf of Mexico,Lutjanus campechanus,29.2561970489231,0.189240876225812,-90.1051526342955,0.73761561373923,53.8332777771168,1.50787160199841
2006,Gulf of Mexico,Lutjanus campechanus,28.6814483260449,0.180655600647744,-92.6364025737153,0.713350422412413,51.3564583127385,2.95028097879534
2007,Gulf of Mexico,Lutjanus campechanus,28.7186525390623,0.168595644814223,-92.294393226284,0.73729580801013,53.4134345401322,2.02401105657268
2008,Gulf of Mexico,Lutjanus campechanus,28.9956253981017,0.220963979797455,-92.4877666455839,0.742466876296939,44.1503859534898,4.08917034230231
2009,Gulf of Mexico,Lutjanus campechanus,28.7705243442193,0.184270579925935,-91.8336481370236,0.679805936631701,55.250326960221,2.18186289241575
2010,Gulf of Mexico,Lutjanus campechanus,28.6848719991294,0.207544606307834,-92.6228387337002,0.697973251789081,56.4452173459869,2.65247664387341
2011,Gulf of Mexico,Lutjanus campechanus,28.5129668893735,0.169901325705232,-93.1580862630524,0.622237834661378,55.1635528645622,2.36471486877804
2012,Gulf of Mexico,Lutjanus campechanus,28.9053890435443,0.165187339146368,-91.7613103404897,0.645210610267782,57.1023426077944,2.15977894171798
2013,Gulf of Mexico,Lutjanus campechanus,28.3960321776144,0.197000836111765,-93.8606670360923,0.621099503459839,59.1792686049394,2.0298788560798
