Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1984,Gulf of Mexico,Scomberomorus maculatus,28.5967846837277,0.0894002367904779,-92.2939200353889,1.60778629468975,50.9838407100986,3.54396859708233
1985,Gulf of Mexico,Scomberomorus maculatus,28.855584665913,1.3506923503875,-90.6522294911563,3.66649924412082,49.0752653166834,6.11198777494164
1986,Gulf of Mexico,Scomberomorus maculatus,29.5978217575055,0.102464884816505,-88.6282165473603,0.234862783423666,51.7994968129483,3.45308123389653
1987,Gulf of Mexico,Scomberomorus maculatus,29.3344975967458,0.169193155884017,-91.5800755861911,1.32692292570124,37.6695896725868,7.07671213816636
1988,Gulf of Mexico,Scomberomorus maculatus,29.1068691139403,0.316557357200212,-90.4966337731416,1.20938114151176,49.9083297491078,2.86267146003842
1989,Gulf of Mexico,Scomberomorus maculatus,28.338506087855,0.313301004271435,-94.9064529881412,0.654201815578838,48.6481216182127,5.16514056907752
1990,Gulf of Mexico,Scomberomorus maculatus,28.8834138506293,0.187597365378752,-92.5784051816266,0.694921559613982,39.121970014001,3.41765986694044
1991,Gulf of Mexico,Scomberomorus maculatus,28.8005324556483,0.221453097249899,-94.0024880275874,0.626249310996908,42.5409254855284,4.46912712484951
1992,Gulf of Mexico,Scomberomorus maculatus,28.6548126974032,0.207395069393326,-94.4286008172517,0.283063844420872,57.3289842117075,9.16392421878834
1993,Gulf of Mexico,Scomberomorus maculatus,28.785558757515,0.35356810435397,-92.4054239568882,1.09270670417949,37.2451150889255,4.30011880427292
1994,Gulf of Mexico,Scomberomorus maculatus,29.1174077307143,0.228988981218139,-91.5148391817662,0.841101194992541,39.8281836580391,4.49064647152165
1995,Gulf of Mexico,Scomberomorus maculatus,28.8574521259706,0.134607106376925,-92.0459252934781,0.469934870163111,42.1313576082085,4.3542647551118
1996,Gulf of Mexico,Scomberomorus maculatus,29.50137771599,0.107494508671957,-89.8547572847582,0.91465219849703,47.0363286700396,4.30176476249169
1997,Gulf of Mexico,Scomberomorus maculatus,29.1124873093146,0.103691506142514,-91.0436884980031,0.912590057241965,37.2258879478493,6.45414896013431
1998,Gulf of Mexico,Scomberomorus maculatus,29.3920712799025,0.149533864299576,-90.0992784400684,0.858860271740778,45.6091962945495,4.70279909061948
1999,Gulf of Mexico,Scomberomorus maculatus,28.9982402041138,0.135373313514469,-89.9833266162162,0.307547608650653,38.7375180392044,3.72281949014805
2000,Gulf of Mexico,Scomberomorus maculatus,27.2063464187813,0.366320531141186,-95.9874499239947,0.6934519863481,42.4845468305504,3.07178616719669
2001,Gulf of Mexico,Scomberomorus maculatus,28.1148605847773,0.301088617029541,-95.4667921351171,1.07170241310713,49.8018562006617,4.68941083550781
2002,Gulf of Mexico,Scomberomorus maculatus,28.646830019496,0.173462656301892,-94.413213614292,0.567182115809446,55.2848654901223,7.42289159442402
2003,Gulf of Mexico,Scomberomorus maculatus,28.4637574752249,0.139296548466088,-93.7366495338157,1.55072375469877,47.4232876733577,3.72031830936321
2004,Gulf of Mexico,Scomberomorus maculatus,28.9115519790294,0.160449655482576,-91.939984156026,0.850515841858875,45.3501509216831,3.56866692026607
2005,Gulf of Mexico,Scomberomorus maculatus,28.6671957087917,0.188934386642449,-93.9834972208154,0.654751848002019,44.7164631766731,4.5342585387983
2006,Gulf of Mexico,Scomberomorus maculatus,28.5107136526151,0.255643575208555,-92.783064421466,0.927527845482159,50.0409436276689,4.90599675950838
2007,Gulf of Mexico,Scomberomorus maculatus,28.9314715140413,0.109543326588003,-92.1045175679755,0.562052314632109,42.7312653203041,4.63589247489898
2008,Gulf of Mexico,Scomberomorus maculatus,28.7260477188413,0.322937382263934,-94.7927556150748,0.675289389091873,45.7610673398039,9.94052483695495
2009,Gulf of Mexico,Scomberomorus maculatus,28.8484789384091,0.170437035951949,-91.9358605607672,0.703510874827968,53.3926319581635,4.58879830280591
2010,Gulf of Mexico,Scomberomorus maculatus,28.6491149409585,0.111595039305481,-94.1112931760536,0.546396019866272,59.2204710902796,5.02213306423795
2011,Gulf of Mexico,Scomberomorus maculatus,28.3909180764411,NA,-95.4917279135338,NA,56.0781581954887,NA
2012,Gulf of Mexico,Scomberomorus maculatus,27.7694137642059,0.17868662025693,-96.6775830856155,0.157883424341415,55.727009032195,6.36533873949377
2013,Gulf of Mexico,Scomberomorus maculatus,28.8259341626949,0.144405680280884,-92.0631833346428,0.755444908299073,48.101685640264,3.690101034804
