Year,,Cruise,Signature,numerical month,Project Principals,Vessel,Cruise Dates,Months,Latitude,Longitude,Summary,New Themes,OER Focus Areas,Platforms,Mission Group,MEOW,OE_Link,OE_Link_Image,SOO,Overview,Archive,Direct,NCDDC_Link,AuthoritativeIDx,CruiseID,GISMapLayers,EEM,Lesson_Plans,EMC,Educ_Focus,Publications,Metadata
2001,Monitor2001,Preserving the USS Monitor,Yes,3,"Dr. John Broadwater, Monitor National Marine Sanctuary, NOAA (Principal Investigator)",USS Grapple; R/V Cape Fear,"March 25 - August 17, 2001",April-October,35.009317,-75.409208,"The exploration focused on the midsummer recovery of the engine of the Monitor, a key step toward recovering the central turret of the ship.  This is part of a multiyear project designed to preserve this historic Civil War vessel for future generations.","arch, diving",mpa,"grapple, scuba",,warmnwatl,http://oceanexplorer.noaa.gov/explorations/monitor01/monitor01.html,mn_2001.jpg,,,,,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#preserving_details,
2001,CaribbeanGOM2001,Caribbean and Gulf of Mexico Mission,No,5,"Dr. Sylvia Earle, National Geographic Society (Principal Investigator)",NOAA Ship McArthur; NOAA Ship Gordon Gunter,"May 11 - July 13, 2001",May-July,26.27,-86.93,"From Belize to the Dry Tortugas, scientists ""rode"" ocean currents of the Caribbean Sea and Gulf of Mexico in research vessels to study coral reef and hard bottom communities. This was a cooperative effort between NOAA and the National Geographic Society. Much of the underwater exploration was conducted using DeepWorker 2000, a single-person submersible capable of diving to 2,000 ft.","corals, habitat, subs, diving, sampling","carib, gom","mcarthur, gunter, deepworker",,tropnwatl,http://oceanexplorer.noaa.gov/explorations/islands01/log/gom_sum/gom_summary.html,IIs_GOM_2001.jpg,,,,,,,,,,,,,,
2001,LewisClark2001,Continuing the Lewis and Clark Legacy,Yes,6,"Dr. Waldo Wakefield, National Marine Fisheries Service, NOAA (Principal Investigator); Susan Merle, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator); Dr. Robert Embley, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator); Dr. Chris Goldfinger, Oregon State University (Principal Investigator)",R/V Auriga; NOAA Ship Ronald H. Brown,"June 26 - July 13, 2001",June-July,45,-126,"A team mapped the offshore canyon of the Columbia River and characterized its physical and biological systems.  Astonia Canyon, the westernmost portion of the drainage system of the river, is a virtually unexplored biological haven.","mapping, habitat, canyon, arch, sampling, sound, subs",,"ropos, ronbrown",Lewis and Clark,coldnepac,http://oceanexplorer.noaa.gov/explorations/lewis_clark01/lewis_clark01.html,lc_2001.jpg,,,Multibeam Archive Collection (AT06L01a); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=l&v_0=NEW2319&t=101378&s=8&d=70&d=75&d=76&d=91&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress,,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#lewis_details,
2001,NextGenTools2001,Next Generation Tools: Multibeam Side-scan Sonar,No,6,"Dr. Bob McConnaughey, National Marine Fisheries Service, Alaska Fisheries Science Center (Principal Investigator)",F/V Ocean Explorer,"June 15 - July 15, 2001",June-July,57.75,-161,"This exploration used an experimental system, one of only three in the world, to characterize very small-scale environments in Alaska.","habitat, newtech, subs",arctic,"oceanexp, klein",,arctic,http://oceanexplorer.noaa.gov/projects/alaskatools01/alaskatools01.html,sss_2001.jpg,,,,,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#next_details,
2001,TBECHO2001,Thunder Bay ECHO: Acoustic Surveying of Shipwreck Alley,No,6,"Dwight Coleman, Institute for Exploration",R/V Lake Guardian,"June 8 - 22, 2001",June,45,-83.1,"This exploration used a new side-scan sonar system to identify shipwrecks in this historic area that recently became the 13th U.S. National Marine Sanctuary.  More than 100 vessels are believed to rest here, but only 40 had been located prior to this mission.","arch, mapping",mpa,lakeguardian,Thunder Bay,,http://oceanexplorer.noaa.gov/projects/thunderbay01/thunderbay01.html,tb_2001.jpg,,,,,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#tbecho_details,
2001,USSS52001,The Search for the USS S-Five,No,7,"LTJG Jeremy Weirich, NOAA/OAR/OER (Principal Investigator)",NOAA Ship Whiting,Jul-01,July,39,-74.9,The exact location of the lost Navy submarine was discovered during this exploration.,"arch, mapping",,whiting,,coldnwatl,http://oceanexplorer.noaa.gov/projects/01s5/welcome.html,usss-5_2001.jpg,,,,,,,,,,,,,,
2001,OculinaBanks2001,Oculina Banks Habitat - Islands in the Stream,Yes,8,"Dr. Sylvia Earle, National Geographic Society (Principal Investigator)",R/V Seward Johnson II,"August 29 - September 5, 2001",August-September,27.850586,-79.926086,"Ocean explorers mapped the habitat of the bank, a prime spawning ground for reef fish, especially grouper.","corals, habitat, arch, biodiv, mapping, newtech, sampling, sound, subs",,"sewardjohnson, clelia, phantom",Islands in the Stream,tropnwatl,http://oceanexplorer.noaa.gov/explorations/islands01/islands01.html,obh_2001.jpg,,,"Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://data.nodc.noaa.gov/cgi-bin/iso?id=gov.noaa.nodc:37122 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm64403670",,,,,,,,,,,
2001,Sounds2001,Sound in the Sea: Acoustic Monitoring at Pioneer Seamount,Yes,8,"Dr. Christopher Fox, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator)",NOAA Ship Ronald H. Brown,"August 27 - September 4, 2001",August,37.25,-123.15,A team improved our understanding of the sources of ocean noise by installing a vertical hydrophone array off the coast of central California.,sound,,ronbrown,Sounds in the Sea,coldnepac,http://oceanexplorer.noaa.gov/explorations/sound01/sound01.html,sits_2001.jpg,,,,,,,,,,,,,,
2001,IIS2001,Charleston Bump - Islands in the Stream,Yes,9,"Dr. Sylvia Earle, National Geographic Society (Principal Investigator)",R/V Seward Johnson II,"September 27 - 29, 2001",September,31.714172,-78.804282,Scientists complemented visual observations with specimens to understand the distribution of juvenile stages of pelagic species.,"corals, habitat, subs, biodiv",,"sewardjohnson, jsl",Islands in the Stream,"warmnwatl, tropnwatl",http://oceanexplorer.noaa.gov/explorations/islands01/islands01.html,cb_2001.jpg,,,"Collection of Documents, Images, and Video Highlights;  Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm64403670",,,,,,,,,,,
2001,DeepEast2001,Deep East: Deep Sea Resources off the U.S. Eastern Seaboard,Yes,9,"Dr. Les Watling, University of Maine (Principal Investigator); Dr. Fred Grassle, Rutgers University (Principal Investigator); Dr. Cindy Lee Van Dover,  College of William and Mary (Principal Investigator)",R/V Atlantis,"September 8 - October 1, 2001",September,39,-72,"A team characterized deep-sea ecosystems from New England to Georgia with a manned submersible.  The three target areas included Georges Bank Canyons, Hudson Canyon, and Blake Canyon.","subs, canyon, habitat, corals, biodiv, chemo, sampling, seamount",,"atlantis, alvin",,coldnwatl,http://oceanexplorer.noaa.gov/explorations/deepeast01/deepeast01.html,de_2001.jpg,,,Multibeam Archive Collection (AT06L01a); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=AT06L01a&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Multibeam Archive Collection (AT06L01b); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=AT06L01b&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Multibeam Archive Collection (AT07L01); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=AT07L01&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress,Academic Fleet R2R Data Management; Open; Academic Fleet Rolling Deck to Repository Data Management Website; http://www.rvdata.us/catalog/AT6-01A | Academic Fleet R2R Data Management; Open; Academic Fleet Rolling Deck to Repository Data Management Website; http://www.rvdata.us/catalog/AT6-01B | Academic Fleet R2R Data Management; Open; Academic Fleet Rolling Deck to Repository Data Management Website; http://www.rvdata.us/catalog/AT7-01 | Woods Hole Oceanographic Institution Data Library and Archives; Open; WHOI Data Library and Archives Website (AT06L01); http://dla.whoi.edu/cruises/at6-01-0; Woods Hole Oceanographic Institution Data Library and Archives (AT07L01); Open; WHOI Data Library and Archives Website; http://dla.whoi.edu/cruises/at7-01,,AT07L01; AT06L01b; AT06L01a; AT05L07,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#deep_details,
